id;camp;source;people_data_js;first_regalia;red;white;rev-dem;national;green
kappel;rev-dem;regalia;;Командующий Народной армией Комитета членов Учредительного собрания (Комуч);0;9;54;0;0
kerenskiy;rev-dem;regalia;;Лидер Партии социалистов-революционеров;0;9;42;0;0
milyukov;rev-dem;regalia;;Лидер Конституционно-демократической партии;0;0;9;0;0
nabokov;rev-dem;regalia;;Один из лидеров Конституционно-демократической партии;0;0;9;0;0
savinkov;rev-dem;regalia;;Член Партии социалистов-революционеров (1917);0;0;42;0;0
spiridonova;rev-dem;regalia;;Лидер Партии левых социалистов-революционеров (интернационалистов);1;0;42;0;0
vologodskiy;rev-dem;regalia;;Председатель Совета министров Сибирского временного правительства;0;0;36;18;0
volskiy;rev-dem;regalia;;Член Партии социалистов-революционеров;0;0;60;0;0
zenzinov;rev-dem;regalia;;Один из лидеров партии социалистов-революционеров;0;0;54;18;0
zhordaniya;rev-dem;regalia;;Лидер грузинских меньшевиков;0;0;42;18;0
alekseev;white;regalia;;Верховный главнокомандующий Русской армией (1917);0;51;0;0;0
bogaevskiy;white;regalia;;Один из руководителей Белого движения на Юге России;0;42;0;0;0
denikin;white;regalia;;Генерал-лейтенант, начальник штаба Верховного главнокомандующего, командующий За;0;72;0;0;0
diterikhs;white;regalia;;Один из руководителей Белого движения в Сибири и на Дальнем Востоке;0;39;0;0;0
dutov;white;regalia;;Атаман Оренбургского казачьего войска;0;45;0;0;0
gayda;white;regalia;;Лидер Чехословацкого корпуса;0;27;0;0;0
grishin;white;regalia;;Руководитель Белого движения в Сибири, первый главнокомандующий Сибирской армией;0;36;6;0;0
kaledin;white;regalia;;Один из лидеров Белого движения на Юге России;0;42;3;0;0
kolchak;white;regalia;;Лидер Белого движения;0;57;3;0;0
kornilov;white;regalia;;Верховный главнокомандующий Русской армией (1917);0;51;3;0;0
krasnov;white;regalia;;Один из лидеров Белого движения на Юге России;0;30;0;0;0
krivoshein;white;regalia;;Участник Белого движения;0;30;0;0;0
miller;white;regalia;;Руководитель Белого движения на Севере России;0;39;3;0;0
semyonov;white;regalia;;Один из лидеров Белого движения на Дальнем Востоке;3;39;3;0;0
shulgin;white;regalia;;Российский политик-монархист;0;33;0;0;0
struve;white;regalia;;Один из лидеров Конституционно-демократической партии;0;18;0;0;0
wrangel;white;regalia;;Лидер Белого движения на Юге России;6;39;0;0;0
yudenich;white;regalia;;Руководитель Белого движения на Северо-Западе России;0;30;3;0;0
